,Aditya Birla Sun Life Corporate Bond Fund Growth Direct Plan,Aditya Birla Sun Life Government Securities Fund Growth Instant Gain Direct Plan,Aditya Birla Sun Life Income Fund Growth Direct Plan,Aditya Birla Sun Life Regular Savings Fund Direct Plan Growth,Axis Bluechip Fund Direct Plan Growth,Axis Dynamic Bond Fund Direct Plan Growth Option,Axis Equity Saver Fund Direct Plan Growth,Axis Liquid Fund Direct Plan Growth Option,Axis Long Term Equity Fund Direct Plan Growth Option,Axis Midcap Fund Direct Plan Growth,Axis Short Term Fund Direct Plan Growth Option,Axis Strategic Bond Fund Direct Plan Growth Option,Axis Treasury Advantage Fund Direct Plan Growth Option,Baroda Conservative Hybrid Fund Plan B (Direct) Growth Option,Baroda Short Term Bond Fund - Plan B (Direct) - Growth Option,BNP Paribas Conservative Hybrid Fund Direct Plan Growth Option,BNP Paribas Substantial Equity Hybrid Direct Growth,BOI AXA Tax Advantage Fund-Direct Plan- Growth,Canara Robeco Bluechip Equity Fund Direct Plan Growth,Canara Robeco Emerging Equities-Direct Plan-Growth Option,Canara Robeco Equity Taxsaver - Direct Plan - Growth Option,DSP Tax Saver Fund - Direct Plan - Growth,Edelweiss Balanced Advantage Fund -Direct Plan-Growth,Edelweiss Banking and PSU Debt Fund Direct Growth,Edelweiss Government Securities Fund Direct Growth,Essel Liquid Fund Direct Plan Growth Option,Franklin Build India Fund - Direct - Growth,HDFC Balanced Adv Direct Plan Growth Option,HDFC Corporate Bond Fund -Direct Plan - Growth Option,HDFC Credit Risk Debt Fund Direct Plan Growth Option,HDFC Equity Savings Fund -Direct Plan - Growth Option,HDFC Hybrid Debt Direct Plan Growth Option,HDFC Short Term Debt Fund -Direct Plan - Growth Option,ICICI Prudential All Seasons Bond Fund Direct Plan Growth,ICICI Prudential Banking and Financial Services Fund Direct Plan Growth,ICICI Prudential Banking and PSU Debt Fund Direct Plan Growth,ICICI Prudential Bluechip Fund Direct Plan Growth,ICICI Prudential Constant Maturity Gilt Direct Growth,ICICI Prudential Credit Risk Fund Direct Plan Growth,ICICI Prudential Debt Management Fund(FOF) Direct Plan Growth,ICICI Prudential Nifty Next 50 Index Fund Direct Plan Growth,ICICI Prudential Ultra Short Term Fund Direct Plan Growth,IDFC Bond Fund - Income Plan - Direct Plan - Growth,IDFC Dynamic Bond Fund - Direct Plan - Growth,IDFC Government Securities Fund - Investment Plan - Direct Plan - Growth,IDFC Tax Advantage (ELSS) Fund - Direct Plan - Growth,IIFL Focused Equity Fund Direct Growth,Invesco India Contra Fund - Direct Plan - Growth,Invesco India Infrastructure Fund - Direct Pan - Growth Option,Kotak Bond Short Term Plan - Growth - Direct,Kotak Credit Risk FundGrowthDirect,Kotak Debt Hybrid Direct Growth,Kotak Emerging Equity Scheme Direct Growth,L&amp;T Low Duration Fund Direct Plan Growth Option,L&amp;T Money Market Fund Direct Plan Growth Option,L&amp;T Triple Ace Bond Fund Direct Plan Growth Plan,Mahindra Dhan Sanchay Equity Savings Yojana Direct Plan Growth,Mirae Asset Emerging Bluechip Fund - Direct Plan - Growth,Mirae Asset Large Cap Fund Direct Plan Growth,Mirae Asset Tax Saver Fund -Direct Plan-Growth,Nippon India Balanced Advantage Fund - Direct Plan - Growth Plan,Nippon India Gilt Securities Fund- Direct Plan- Growth Plan- Bonus Option,Nippon India Large Cap Fund - Direct Plan - Growth Plan,Nippon India Money Market Fund Direct Plan Growth Option,Nippon India Short Term Fund - Direct Plan - Growth Plan,Parag Parikh Long Term Equity Direct Growth,PGIM India Midcap Opportunities Fund Direct Growth,Principal Equity Savings - Direct Plan - Growth Option,Quant Absolute Fund Growth Option Direct Plan,Quant Active Fund Growth Option Direct Plan,Quant Tax Plan Growth Option Direct Plan,SBI Banking &amp; Financial Services Direct Growth,SBI Magnum Children&apos;s Benefit Fund Direct Growth,SBI Magnum Constant Maturity Fund Direct Growth,SBI Magnum Income Fund Direct Growth,SBI Magnum Low Duration Fund Direct Plan Growth,SBI Magnum Medium Duration Fund Direct Growth,SBI Multi Asset Allocation Fund Direct Plan Growth,SBI Short Term Debt Fund Direct Growth,SBI Small Cap Fund Direct Plan Growth,Tata Retirement Savings Conservative Fund Direct Plan Growth,Tata Retirement Savings Moderate Fund Direct Plan Growth,UTI Equity Fund - Growth Option - Direct
exchange,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE,BSE
shortName,Aditya Birla Sun Life Corporate,Aditya Birla Sun Life Governmen,Aditya Birla Sun Life Income Fu,Aditya Birla Sun Life Reg Savin,Axis Bluechip Fund Direct Plan ,Axis Dynamic Bond Fund Direct P,Axis Equity Saver Fund Direct P,Axis Liquid Fund Direct Plan Gr,Axis Long Term Equity Fund Dire,Axis Midcap Fund Direct Plan Gr,Axis Short Term Fund Direct Pla,Axis Strategic Bond Fund Direct,Axis Treasury Advantage Fund Di,Baroda Conservative Hybrid Fund,Baroda Short Term Bond Fund Pla,BNP Paribas Conservative Hybrid,BNP Paribas Substantial Equity ,BOI AXA Tax Advantage Fund Dire,Canara Robeco Bluechip Equity F,Canara Robeco Emerging Equities,Canara Robeco Equity Taxsaver D,DSP Tax Saver Fund Direct Plan ,Edelweiss Balanced Advantage Fu,Edelweiss Banking and PSU Debt ,Edelweiss Government Securities,Navi Liquid Fund Direct Plan Gr,Franklin Build India Fund Direc,HDFC Balanced Advantage Fund Di,HDFC Corporate Bond Fund -Direc,HDFC Credit Risk Debt Fund Dire,HDFC Equity Savings Fund -Direc,HDFC Hybrid Debt Direct Plan Gr,HDFC Short Term Debt Fund -Dire,ICICI Prudential All Seasons Bo,ICICI Prudential Banking and Fi,ICICI Prudential Banking and PS,ICICI Prudential Bluechip Fund ,ICICI Prudential Constant Matur,ICICI Prudential Credit Risk Fu,ICICI Prudential Debt Managemen,ICICI Prudential Nifty Next 50 ,ICICI Prudential Ultra Short Te,IDFC Bond Fund - Income Plan - ,IDFC Dynamic Bond Fund - Direct,IDFC Government Securities Fund,IDFC Tax Advantage (ELSS) Fund ,IIFL Focused Equity Fund Direct,Invesco India Contra Fund Direc,Invesco India Infrastructure Fu,Kotak Bond Short Term Plan Dire,Kotak Credit Risk Fund Direct G,Kotak Debt Hybrid Direct Growth,Kotak Emerging Equity Scheme Di,L&T Low Duration Fund Direct Pl,L&T Money Market Fund Direct Pl,L&T Triple Ace Bond Fund Direct,Mahindra Manulife Equity Saving,Mirae Asset Emerging Bluechip F,Mirae Asset Large Cap Fund Dire,Mirae Asset Tax Saver Fund -Dir,Nippon India Balanced Advantage,Nippon India Gilt Securities Fu,Nippon India Large Cap Fund - D,Nippon India Money Market Fund ,Nippon India Short Term Fund - ,Parag Parikh Flexi Cap Direct G,PGIM India Midcap Opportunities,Principal Equity Savings - Dire,Quant Absolute Fund Growth Opti,Quant Active Fund Growth Option,Quant Tax Plan Growth Option Di,SBI Banking & Financial Service,SBI Magnum Children's Benefit F,SBI Magnum Constant Maturity Fu,SBI Magnum Income Fund Direct G,SBI Magnum Low Duration Fund Di,SBI Magnum Medium Duration Fund,SBI Multi Asset Allocation Fund,SBI Short Term Debt Fund Direct,SBI Small Cap Fund Direct Plan ,Tata Retirement Savings Conserv,Tata Retirement Savings Moderat,UTI Flexi Cap Fund - Growth Opt
longName,Aditya Birla Sun Life Corporate Bond Fund Growth Direct Plan,Aditya Birla Sun Life Government Securities Fund Growth Instant Gain Direct Plan,Aditya Birla Sun Life Income Fund Growth Direct Plan,Aditya Birla Sun Life Regular Savings Fund Direct Plan Growth,Axis Bluechip Fund Direct Plan Growth,Axis Dynamic Bond Fund Direct Plan Growth Option,Axis Equity Saver Fund Direct Plan Growth,Axis Liquid Fund Direct Plan Growth Option,Axis Long Term Equity Fund Direct Plan Growth Option,Axis Midcap Fund Direct Plan Growth,Axis Short Term Fund Direct Plan Growth Option,Axis Strategic Bond Fund Direct Plan Growth Option,Axis Treasury Advantage Fund Direct Plan Growth Option,Baroda Conservative Hybrid Fund Plan B (Direct) Growth Option,Baroda Short Term Bond Fund - Plan B (Direct) - Growth Option,BNP Paribas Conservative Hybrid Fund Direct Plan Growth Option,BNP Paribas Substantial Equity Hybrid Direct Growth,BOI AXA Tax Advantage Fund-Direct Plan- Growth,Canara Robeco Bluechip Equity Fund Direct Plan Growth,Canara Robeco Emerging Equities-Direct Plan-Growth Option,Canara Robeco Equity Taxsaver - Direct Plan - Growth Option,DSP Tax Saver Fund - Direct Plan - Growth,Edelweiss Balanced Advantage Fund -Direct Plan-Growth,Edelweiss Banking and PSU Debt Fund Direct Growth,Edelweiss Government Securities Fund Direct Growth,Essel Liquid Fund Direct Plan Growth Option,Franklin Build India Fund - Direct - Growth,HDFC Balanced Adv Direct Plan Growth Option,HDFC Corporate Bond Fund -Direct Plan - Growth Option,HDFC Credit Risk Debt Fund Direct Plan Growth Option,HDFC Equity Savings Fund -Direct Plan - Growth Option,HDFC Hybrid Debt Direct Plan Growth Option,HDFC Short Term Debt Fund -Direct Plan - Growth Option,ICICI Prudential All Seasons Bond Fund Direct Plan Growth,ICICI Prudential Banking and Financial Services Fund Direct Plan Growth,ICICI Prudential Banking and PSU Debt Fund Direct Plan Growth,ICICI Prudential Bluechip Fund Direct Plan Growth,ICICI Prudential Constant Maturity Gilt Direct Growth,ICICI Prudential Credit Risk Fund Direct Plan Growth,ICICI Prudential Debt Management Fund(FOF) Direct Plan Growth,ICICI Prudential Nifty Next 50 Index Fund Direct Plan Growth,ICICI Prudential Ultra Short Term Fund Direct Plan Growth,IDFC Bond Fund - Income Plan - Direct Plan - Growth,IDFC Dynamic Bond Fund - Direct Plan - Growth,IDFC Government Securities Fund - Investment Plan - Direct Plan - Growth,IDFC Tax Advantage (ELSS) Fund - Direct Plan - Growth,IIFL Focused Equity Fund Direct Growth,Invesco India Contra Fund - Direct Plan - Growth,Invesco India Infrastructure Fund - Direct Pan - Growth Option,Kotak Bond Short Term Plan - Growth - Direct,Kotak Credit Risk FundGrowthDirect,Kotak Debt Hybrid Direct Growth,Kotak Emerging Equity Scheme Direct Growth,L&amp;T Low Duration Fund Direct Plan Growth Option,L&amp;T Money Market Fund Direct Plan Growth Option,L&amp;T Triple Ace Bond Fund Direct Plan Growth Plan,Mahindra Dhan Sanchay Equity Savings Yojana Direct Plan Growth,Mirae Asset Emerging Bluechip Fund - Direct Plan - Growth,Mirae Asset Large Cap Fund Direct Plan Growth,Mirae Asset Tax Saver Fund -Direct Plan-Growth,Nippon India Balanced Advantage Fund - Direct Plan - Growth Plan,Nippon India Gilt Securities Fund- Direct Plan- Growth Plan- Bonus Option,Nippon India Large Cap Fund - Direct Plan - Growth Plan,Nippon India Money Market Fund Direct Plan Growth Option,Nippon India Short Term Fund - Direct Plan - Growth Plan,Parag Parikh Long Term Equity Direct Growth,PGIM India Midcap Opportunities Fund Direct Growth,Principal Equity Savings - Direct Plan - Growth Option,Quant Absolute Fund Growth Option Direct Plan,Quant Active Fund Growth Option Direct Plan,Quant Tax Plan Growth Option Direct Plan,SBI Banking &amp; Financial Services Direct Growth,SBI Magnum Children&apos;s Benefit Fund Direct Growth,SBI Magnum Constant Maturity Fund Direct Growth,SBI Magnum Income Fund Direct Growth,SBI Magnum Low Duration Fund Direct Plan Growth,SBI Magnum Medium Duration Fund Direct Growth,SBI Multi Asset Allocation Fund Direct Plan Growth,SBI Short Term Debt Fund Direct Growth,SBI Small Cap Fund Direct Plan Growth,Tata Retirement Savings Conservative Fund Direct Plan Growth,Tata Retirement Savings Moderate Fund Direct Plan Growth,UTI Equity Fund - Growth Option - Direct
exchangeTimezoneName,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata
exchangeTimezoneShortName,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST,IST
isEsgPopulated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True
gmtOffSetMilliseconds,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000
quoteType,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND,MUTUALFUND
symbol,0P0000XVXX.BO,0P0001BNS5.BO,0P0000XVX0.BO,0P0000XVXP.BO,0P0000XVTL.BO,0P0000XVTE.BO,0P00016KOT.BO,0P0000XVUB.BO,0P0000XVU7.BO,0P0000XVUH.BO,0P0000XVUL.BO,0P0000XVTZ.BO,0P0000XVUV.BO,0P0000XVVB.BO,0P0000XWB3.BO,0P0000XVZ1.BO,0P00019ZBR.BO,0P0000XVZR.BO,0P0000XW0O.BO,0P0000XW00.BO,0P0000XW04.BO,0P0000XW2T.BO,0P0000XYE4.BO,0P0000ZK6O.BO,0P000123Q6.BO,0P0000XVB1.BO,0P0000XW55.BO,0P0001EI12.BO,0P0000XW8D.BO,0P00012K1G.BO,0P0000XW8Q.BO,0P0000XW8G.BO,0P0000XW8W.BO,0P0000XUYA.BO,0P0000XWA3.BO,0P0000YF56.BO,0P0000XWAT.BO,0P000148GW.BO,0P0000XUYV.BO,0P0000XWA0.BO,0P0000XUYS.BO,0P0000XWCA.BO,0P0000XV19.BO,0P0000XV0G.BO,0P0000XV0J.BO,0P0000XV1I.BO,0P00014KAU.BO,0P0000XVGR.BO,0P0000XVH6.BO,0P0000XV5M.BO,0P0000XV6D.BO,0P0000XZRU.BO,0P0000XV5R.BO,0P0000XV8D.BO,0P0000XV70.BO,0P0000XV8J.BO,0P00019J57.BO,0P0000XV9V.BO,0P0000XVA0.BO,0P00017844.BO,0P0000XVFJ.BO,0P000153GC.BO,0P0000XVG6.BO,0P0000XVEU.BO,0P0000XVFU.BO,0P0000YWL1.BO,0P00011MAT.BO,0P0000XVC6.BO,0P0000XW4A.BO,0P0000XW4E.BO,0P0000XW51.BO,0P00015HLN.BO,0P0000XVJN.BO,0P0000XVK3.BO,0P0000XVK8.BO,0P0000XVLN.BO,0P0000XVLH.BO,0P0000XVKT.BO,0P0000XVLL.BO,0P0000XW1B.BO,0P0000XVPE.BO,0P0000XVPF.BO,0P0000XVSO.BO
market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market
annualHoldingsTurnover,4.717,13.1504,19.5812,3.9256,1.4238,13.516899,4.5838,7.7319,1.1029,0.6369,4.6,2.3343,4.6746,0.6308,1.1269001,6.0522,2.3481,0.8033,0.943,0.8596,1.9039999,1.1512,3.4928,4.14,24.58,19.6696,0.3005,0.1846,1.2589,0.7618,0.35950002,0.8714,0.7564,3.5015,0.734,2.6141,0.8683,6.0589004,0.5585,0.39330003,0.6257,1.8358,8.3384,13.0925,12.528299,0.45880002,10.893499,1.1578,0.3732,3.3042998,1.4784,5.3708,0.2712,1.595,5.1878996,1.3566,3.0093,0.77129996,0.518,0.59,4.22,6.2834,0.73910004,8.5719,3.0451002,0.1382,3.1883,17.5226,0.3183,0.4647,0.4105,1.5830001,2.0786,2.3442,2.1442,2.7629,2.579,2.0718,2.2842,0.3085,0.3463,0.4312,0.0921
enterpriseToRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta3Year,0.96,1.55,1.22,1.25,0.84,0.88,,0.83,0.94,0.72,0.98,1.25,1.51,1.03,0.62,0.88,,1.14,0.92,1.1,0.98,1.04,,1.32,0.84,0.76,1.12,,1.25,1.17,,1.31,0.79,0.85,0.97,1.29,0.88,0.83,0.77,,,1.27,1.07,1.05,1.4,1.05,1.04,1.02,1.09,1.01,0.89,1.15,0.86,1.98,0.37,2.45,,1.02,0.96,0.98,,1.4,1.06,1.22,1.15,0.56,0.92,,1.82,0.86,0.94,0.86,,0.44,0.75,1.46,1.18,,1.05,0.89,,,0.91
profitMargins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enterpriseToEbitda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52WeekChange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morningStarRiskRating,2,4,4,5,2,2,4,0,2,1,2,3,2,2,1,2,0,5,3,5,3,3,3,3,1,0,1,5,2,2,4,4,2,3,4,4,2,3,1,1,5,3,3,3,3,4,4,4,1,3,1,4,3,3,4,4,0,4,4,3,5,3,5,2,3,1,3,2,2,3,4,3,5,2,1,2,3,1,3,4,4,5,2
forwardEps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenueQuarterlyGrowth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fundInceptionDate,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1439510400,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1491523200,1356998400,1356998400,1356998400,1356998400,1356998400,1358812800,1379030400,1392249600,1356998400,1356998400,1356998400,1356998400,1395705600,1356998400,1356998400,1356998400,1356998400,1356998400,1363219200,1356998400,1410480000,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1414627200,1356998400,1356998400,1356998400,1356998400,1359504000,1356998400,1356998400,1356998400,1356998400,1485907200,1356998400,1356998400,1451260800,1356998400,1418342400,1356998400,1356998400,1356998400,1369353600,1385942400,1356998400,1356998400,1356998400,1356998400,1424908800,1356998400,1356998400,1356998400,1356998400,1359417600,1363651200,1356998400,1356998400,1356998400,1356998400,1356998400
annualReportExpenseRatio,0.0027,0.0057,0.008,0.0094,0.009,0.0063,0.0166,0.00090000004,0.011,0.0116,0.0028,0.0043,0.0025,0.013300001,0.0061000003,0.0074,0.0124,0.018099999,0.0172,0.0093,0.0150999995,0.0077,0.0115,0.0029,0.0093,0.00059999997,0.0097,0.0106,0.0034,0.0095999995,0.0052,0.012999999,0.0025,0.006,0.0113,0.0049,0.0119,0.001,0.0086,0.0023,0.0043,0.0046,0.0109,0.0083,0.0045,0.0093,0.0087,0.0296,0.0306,0.0083,0,0,0,0.0054,0.0027,0.0036000002,0.0072000003,0,0,0,0.0121,0.0068,0.0126,0.0015,0.0042,0.019199999,0.0166,0.012,0.02,0.0342,0.0639,0.0152,0.014199999,0.0039,0.0072000003,0.0038,0.0058999998,0.0104,0.0034,0.013300001,0.0111,0,0.017
totalAssets,2256856064,734990976,16024178688,1473870976,,,,11771773952,,,,,2231470080,543000,,1698556032,,,,79437000,166191008,2429554944,,,,,1742057216,,,,354848079872,12725576704,,41331408896,9306804224,,2144604032,,,96684816,,,627652992,,,,,645382016,1181202944,4340717056,,783977088,2091954048,,3930120960,100556000,,,,,1483795968,,22226911232,143911944192,10272984064,,,878492032,35260000,45448000,43791000,,201996000,1222631040,656998016,34323283968,59418000,137483008,32307000,,,,16449469440
bookValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fundFamily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lastFiscalYearEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netIncomeToCommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trailingEps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lastDividendValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SandP52WeekChange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
priceToBook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
